Bin,Frequency
33,1
38.75757576,0
44.51515152,4
50.27272727,6
56.03030303,13
61.78787879,7
67.54545455,16
73.3030303,63
79.06060606,31
84.81818182,40
90.57575758,98
96.33333333,25
102.0909091,151
107.8484848,39
113.6060606,51
119.3636364,170
125.1212121,42
130.8787879,97
136.6363636,86
142.3939394,11
148.1515152,65
153.9090909,15
159.6666667,16
165.4242424,22
171.1818182,8
176.9393939,7
182.6969697,6
188.4545455,2
194.2121212,2
199.969697,1
205.7272727,0
211.4848485,0
217.2424242,0
More,2
