Bin,Frequency
25,1
31.75757576,0
38.51515152,1
45.27272727,6
52.03030303,5
58.78787879,23
65.54545455,14
72.3030303,92
79.06060606,69
85.81818182,49
92.57575758,138
99.33333333,50
106.0909091,155
112.8484848,40
119.6060606,110
126.3636364,68
133.1212121,87
139.8787879,45
146.6363636,29
153.3939394,38
160.1515152,17
166.9090909,24
173.6666667,7
180.4242424,13
187.1818182,3
193.9393939,3
200.6969697,7
207.4545455,0
214.2121212,1
220.969697,1
227.7272727,0
234.4848485,0
241.2424242,0
More,1
