Bin,Frequency
5,1
30.51515152,5
56.03030303,3
81.54545455,102
107.0606061,213
132.5757576,169
158.0909091,172
183.6060606,128
209.1212121,63
234.6363636,46
260.1515152,48
285.6666667,42
311.1818182,32
336.6969697,15
362.2121212,7
387.7272727,3
413.2424242,3
438.7575758,3
464.2727273,6
489.7878788,11
515.3030303,11
540.8181818,4
566.3333333,5
591.8484848,1
617.3636364,1
642.8787879,1
668.3939394,0
693.9090909,0
719.4242424,0
744.9393939,0
770.4545455,0
795.969697,0
821.4848485,1
More,1
