Bin,Frequency
2,5
8.666666667,5
15.33333333,0
22,2
28.66666667,0
35.33333333,0
42,5
48.66666667,8
55.33333333,15
62,17
68.66666667,37
75.33333333,64
82,51
88.66666667,111
95.33333333,57
102,160
108.6666667,47
115.3333333,106
122,87
128.6666667,44
135.3333333,127
142,33
148.6666667,54
155.3333333,12
162,24
168.6666667,7
175.3333333,8
182,7
188.6666667,0
195.3333333,2
202,0
208.6666667,1
215.3333333,0
More,1
