Bin,Frequency
0.033333335,6
0.041414143,0
0.049494952,0
0.05757576,0
0.065656569,0
0.073737377,67
0.081818185,0
0.089898994,0
0.097979802,0
0.106060611,91
0.114141419,0
0.122222227,0
0.130303036,0
0.138383844,276
0.146464653,0
0.154545461,0
0.162626269,0
0.170707078,282
0.178787886,0
0.186868694,0
0.194949503,0
0.203030311,190
0.21111112,0
0.219191928,0
0.227272736,0
0.235353545,138
0.243434353,0
0.251515162,0
0.25959597,0
0.267676778,42
0.275757587,0
0.283838395,0
0.291919204,0
More,5
